x_position_mm,y_position_mm,groundtruth,snr,peak_amplitude,time_of_flight,peak_slope,signal_energy,rms,dominant_frequency,spectral_centroid,bandwidth
70.0,290.0,571.3,4.351049716150305,3626.831265350789,250.0,0.0,3264360874.4127874,2605.1128659843566,4158.004158004158,62058.98914337485,0.0
70.0,300.0,571.3,4.482767463265039,3579.861851620463,256.0,0.0,3182030568.2988544,2572.051353869414,4158.004158004158,54697.716418011536,0.0
70.0,310.0,571.3,4.605130294974109,3370.6244931151286,267.0,0.0,3004111016.7002354,2499.1104515952948,4158.004158004158,67472.8168786072,0.0
70.0,320.0,571.3,4.398338568067473,2386.8066021383243,270.0,0.0,1664856762.3468256,1860.4409880885016,4158.004158004158,98921.27774164401,0.0
70.0,330.0,571.3,4.673029336706001,3293.5999178274574,267.5,0.0,3242812164.8795276,2596.500189215816,4158.004158004158,105809.9163011166,0.0
70.0,340.0,571.3,4.675424390678888,3169.854414540942,116.0,0.0,2680353240.441002,2360.6058458236525,4158.004158004158,94080.55452938516,0.0
70.0,350.0,571.3,4.590572412301673,2855.182983953505,266.5,0.0,2383433160.9774065,2226.0194286740907,4158.004158004158,59621.42813385442,0.0
70.0,360.0,571.3,4.389324626375863,2797.8260498823056,266.5,0.0,2256601492.8583164,2165.9822702717665,4158.004158004158,97460.44419063494,0.0
70.0,370.0,571.3,4.491131247715266,2527.634838115003,161.5,0.0,1827593799.4778404,1949.2489088584196,4158.004158004158,136862.00482834084,0.0
70.0,380.0,571.3,4.47755631066494,2874.50183742292,163.0,0.0,2342416286.4522,2206.7823475418804,4158.004158004158,119572.03800013651,0.0
70.0,390.0,571.3,4.960269729293107,2600.326309481775,164.5,0.0,2182723684.601694,2130.2316958899096,4158.004158004158,139146.02426752617,0.0
70.0,400.0,571.3,4.517630320721469,2703.172757225957,118.5,0.0,2382767619.39915,2225.708614017043,4158.004158004158,109681.21051414672,0.0
70.0,410.0,571.3,4.73965067356584,2865.676603203021,119.0,0.0,2269312031.6603107,2172.0737629570085,4158.004158004158,154729.01746784966,0.0
70.0,420.0,571.3,4.389125759582722,2934.6171271863,122.5,0.0,2432492154.728391,2248.8121857630913,4158.004158004158,69537.9188346603,0.0
70.0,430.0,571.3,4.372917783116007,2626.9144751135295,131.0,0.0,2175213531.7203555,2126.56376690662,4158.004158004158,62415.142321678344,0.0
70.0,440.0,571.3,4.5985638378750275,2288.949213802106,162.5,0.0,1731987988.672355,1897.5791496684546,4158.004158004158,61543.68253976362,0.0
70.0,450.0,571.3,4.487267657196191,2483.945247439984,273.5,0.0,1874097486.5081303,1973.8927454912473,4158.004158004158,62097.355823202255,0.0
70.0,460.0,571.3,4.524079978375975,3606.1877289853146,275.5,0.0,3250315658.93535,2599.5024547669896,4158.004158004158,97353.71898472212,0.0
70.0,470.0,571.3,4.521115838292461,3057.1087855088354,276.5,0.0,2071749692.916161,2075.372718030334,4158.004158004158,64211.92796039206,0.0
70.0,480.0,571.3,4.519916708868871,3205.9245701438913,271.5,0.0,2400531411.595804,2233.9896587534763,4158.004158004158,58802.972228044586,0.0
70.0,490.0,571.3,4.672751661835932,3000.2943296570634,263.5,0.0,2068633709.8206103,2073.8114146206335,4158.004158004158,69681.39351705558,0.0
70.0,500.0,571.3,4.590769799700771,2750.5431647889027,258.0,0.0,2078013852.1877735,2078.5079068633586,4158.004158004158,99741.33868514969,0.0
70.0,510.0,571.3,4.74142447391301,2754.789300766997,160.0,0.0,2317992564.7404127,2195.2474487416403,4158.004158004158,78852.2177108216,4158.004158004158
70.0,520.0,571.3,4.6594132550985785,2773.6418337627374,160.5,0.0,2436972932.531456,2250.882447664624,4158.004158004158,118429.340866353,0.0
70.0,530.0,571.3,4.86455128310222,2861.7879248503746,195.5,0.0,2368363358.6136656,2218.971010714236,4158.004158004158,116407.42408768291,0.0
70.0,540.0,571.3,4.762369087593562,3622.1179116436792,196.0,0.0,2773564622.9583435,2401.301025980919,4158.004158004158,56795.53742757154,0.0
70.0,550.0,571.3,4.526300558618608,2873.3509497986547,197.0,0.0,1763792996.4747276,1914.9227939006485,4158.004158004158,69394.90083368757,0.0
70.0,560.0,571.3,4.726873495070764,2911.5654578282433,273.5,0.0,2218804475.8131113,2147.766076209087,4158.004158004158,56635.65288816903,0.0
70.0,570.0,571.3,4.629151479846902,2606.7535233603007,141.5,0.0,1693380752.4127312,1876.310769784199,4158.004158004158,67097.4064560334,8316.008316008316
70.0,580.0,571.3,4.62577358662779,2055.0585482205097,148.0,0.0,920279128.5273304,1383.207222895594,4158.004158004158,64438.615214150595,8316.008316008316
70.0,590.0,571.3,4.6715230905324985,2814.0193618967915,153.5,0.0,1681754553.3476048,1869.8586076976203,4158.004158004158,119961.84212682038,0.0
70.0,600.0,571.3,4.829127904301645,2131.2348892235086,110.5,0.0,1062819449.2760655,1486.4736272967593,4158.004158004158,122755.62476161426,0.0
70.0,610.0,571.3,4.373971874847055,2086.6927815901895,204.0,0.0,1309284607.9630742,1649.8501210596837,4158.004158004158,100427.51720697548,0.0
70.0,620.0,571.3,4.424376934682236,2627.5146045899487,203.5,0.0,1636282201.4439077,1844.4061642263025,4158.004158004158,94556.91810006493,0.0
70.0,630.0,571.3,4.2288242413741175,2783.101420848575,181.0,0.0,1989334762.1054056,2033.6742871581587,4158.004158004158,74449.84349458276,0.0
70.0,640.0,571.3,4.459431290470856,2966.2159269513218,177.0,0.0,1973643526.2538517,2025.6379228012966,4158.004158004158,70065.07284701499,4158.004158004158
70.0,650.0,571.3,4.283474511518682,3380.3444972030325,153.5,0.0,2067291190.4724088,2073.1383655932905,4158.004158004158,80247.21564845438,4158.004158004158
70.0,660.0,571.3,4.450919901035898,4343.637801502704,154.0,0.0,2978763278.898787,2488.5447654574405,4158.004158004158,76754.49047141602,54054.05405405405
70.0,670.0,571.3,4.4320450961171645,3983.22771237604,149.5,0.0,2908975854.3693023,2459.220780857349,4158.004158004158,75960.80181349537,8316.008316008316
70.0,680.0,571.3,4.242533413456976,2784.620396734742,142.0,0.0,1735313790.4645305,1899.4001627084108,4158.004158004158,76701.31613231593,8316.008316008316
70.0,690.0,571.3,4.367523760943945,3422.5806800877176,112.5,74.64735015411912,2114263613.4942029,2096.558715613015,4158.004158004158,110336.25337734395,8316.008316008316
70.0,700.0,571.3,5.129588088913243,3086.0501136147695,109.5,59.21505275021857,1652737317.4283266,1853.6570122268602,4158.004158004158,111632.74906058199,0.0
70.0,710.0,571.3,4.762750196444285,2710.274922051149,108.0,35.17233756120666,1592906647.5718,1819.7956566488458,4158.004158004158,127268.27035078853,0.0
70.0,720.0,571.3,4.881149972342713,2540.6284757209223,277.0,27.322819372904256,1660022563.7820497,1857.7379689539755,4158.004158004158,65234.23391530272,0.0
70.0,730.0,571.3,5.79676278882799,2989.0321358186366,136.5,73.27403525162553,2583747058.569001,2317.674590269406,4158.004158004158,63924.16844213808,0.0
70.0,740.0,571.3,7.665871645981629,4047.4834422004083,130.5,90.95547278390357,3637703906.7486305,2750.053451284972,4158.004158004158,59555.19220888796,0.0
70.0,750.0,571.3,9.217068142273511,5597.567414776707,128.0,70.15159432603791,7952720450.991497,4066.168018089473,4158.004158004158,90573.87836359034,0.0
80.0,50.0,571.3,6.369980927926226,4308.868877534256,255.49999999999997,56.813007926707535,5305907811.0160055,3321.2939300964686,4158.004158004158,99935.09533655712,0.0
80.0,60.0,571.3,5.180250483003773,3816.104548572549,253.00000000000003,0.0,4372138223.080101,3014.9103561247034,4158.004158004158,63963.39210902542,0.0
80.0,70.0,571.3,4.926823862254899,2980.4672975706917,253.00000000000003,0.0,3249741661.563676,2599.2729119141286,4158.004158004158,71497.1108634447,0.0
80.0,80.0,571.3,4.332367476033951,2048.285567504595,272.0,0.0,1373661196.8733578,1689.9244019021073,4158.004158004158,85351.4615677626,0.0
80.0,90.0,571.3,4.09276414270798,2822.6454666732348,274.5,0.0,2042189806.9650326,2060.5137355516845,4158.004158004158,73860.79086962408,0.0
80.0,100.0,571.3,4.125929119124352,2523.3339465086788,121.5,0.0,1743091094.44525,1903.651756294119,4158.004158004158,110138.2401992901,0.0
80.0,110.0,571.3,3.9252605906699674,2723.128267230846,115.5,0.0,1654274721.8713145,1854.5189635080708,4158.004158004158,128674.19848772827,8316.008316008316
80.0,120.0,571.3,3.9948347013265306,3366.357797659495,146.5,0.0,2792999033.709435,2409.699316871861,4158.004158004158,68705.98620882657,8316.008316008316
80.0,130.0,571.3,3.98891987451428,3223.367457100815,153.0,0.0,1950445923.9298627,2013.698371363327,4158.004158004158,87097.85456766715,8316.008316008316
80.0,140.0,571.3,3.9421885144302165,3554.3143408595133,156.0,0.0,2423640203.123264,2244.7166905973427,4158.004158004158,94350.1184566094,0.0
80.0,150.0,571.3,4.018221452850285,2880.688520080418,156.0,0.0,2523354141.016554,2290.427581311385,4158.004158004158,94814.76795132083,0.0
80.0,160.0,571.3,3.943274491552788,2462.9779554635256,199.0,0.0,1836722424.081552,1954.1109841089592,4158.004158004158,138109.52564787047,0.0
80.0,170.0,571.3,4.070399993993152,3069.3088903188427,199.5,0.0,2181489217.5831113,2129.6292209386843,4158.004158004158,117181.54864415077,0.0
80.0,180.0,571.3,3.9957082783264757,2399.1430909413493,203.0,0.0,1413872176.3506336,1714.4804443551293,4158.004158004158,144557.81012778654,0.0
80.0,190.0,571.3,4.194147230453856,2763.5930672892523,245.5,0.0,2525132739.7828693,2291.234648778863,4158.004158004158,123889.69884651649,0.0
80.0,200.0,571.3,4.046250431866389,1949.3367929790484,246.00000000000003,0.0,1178715871.9427538,1565.4241432665249,4158.004158004158,135538.78213773642,0.0
80.0,210.0,571.3,4.257775391485061,2720.9587340120656,155.5,0.0,1702708465.4945197,1881.4713496882023,4158.004158004158,124614.05170817417,0.0
80.0,220.0,571.3,4.181365251597296,2599.6071311957576,156.0,0.0,1428574314.8152838,1723.37139656835,4158.004158004158,104718.3483815077,0.0
80.0,230.0,571.3,4.036930698320169,3110.0882490467134,155.0,0.0,2760128233.3241043,2395.477475451011,4158.004158004158,105430.74823608654,0.0
80.0,240.0,571.3,3.95684361050305,2778.626464527353,273.0,0.0,2444040677.007297,2254.1441055673035,4158.004158004158,92350.89130557707,0.0
80.0,250.0,571.3,4.058851492611134,3149.2376059304893,197.5,0.0,2465203583.7868004,2263.882367937021,4158.004158004158,74506.50121046201,0.0
80.0,260.0,571.3,3.920888207149031,2382.5068302753216,197.0,0.0,1275314257.580081,1628.3061729570336,4158.004158004158,88899.39156944474,0.0
80.0,270.0,571.3,4.123103238623324,2713.3768243374193,198.0,0.0,2039370705.091106,2059.091046005578,4158.004158004158,81781.2540335232,0.0
80.0,280.0,571.3,4.085681075973421,2167.5923572377233,160.0,0.0,1633425176.9353313,1842.795251443549,4158.004158004158,93183.14625198714,0.0
80.0,290.0,571.3,4.103216004396011,1858.317490589086,251.5,0.0,1285585514.0366354,1634.850132708537,4158.004158004158,103463.11542233881,0.0
80.0,300.0,571.3,4.205842387069836,2419.743684731371,257.5,0.0,1546566599.6900835,1793.1299941919603,4158.004158004158,72312.20379698416,0.0
80.0,310.0,571.3,4.147096845986025,2224.6040668100527,262.0,0.0,1380603892.2613888,1694.1895886499212,4158.004158004158,69464.72119177632,0.0
80.0,320.0,571.3,4.222074919343224,3122.7436439793723,272.0,0.0,2827273060.4687905,2424.4394343066574,4158.004158004158,96546.75852970232,0.0
80.0,330.0,571.3,4.023106942182617,2506.9828655551396,274.5,0.0,1701481793.8822367,1880.7934992617763,4158.004158004158,89824.87984815,0.0
80.0,340.0,571.3,4.2571249478303095,3211.068704599334,283.0,0.0,2852778510.9122534,2435.3505815629564,4158.004158004158,98079.50807542821,0.0
80.0,350.0,571.3,4.060435542708225,2421.7283381207676,272.5,0.0,1802895091.071445,1936.032706996495,4158.004158004158,84193.67457949155,0.0
80.0,360.0,571.3,4.1128426615522224,2376.4880631253664,274.0,0.0,1976734321.4121816,2027.223412416769,4158.004158004158,108801.82901343517,0.0
80.0,370.0,571.3,3.9989883029760027,1903.1205371092146,136.0,0.0,1465275902.0091043,1745.368627708363,4158.004158004158,86450.00643638706,0.0
80.0,380.0,571.3,4.091941869535258,2427.477987175146,250.50000000000003,0.0,2452022437.743743,2257.821903035974,4158.004158004158,113252.45077179697,0.0
80.0,390.0,571.3,4.166468561674391,2307.660772158906,248.99999999999997,0.0,2202262524.3819027,2139.7449302892023,4158.004158004158,71024.97580006058,0.0
80.0,400.0,571.3,4.1055724501543445,2555.06627445845,269.5,0.0,2673337189.139491,2357.5142786618653,4158.004158004158,59728.86427998413,0.0
80.0,410.0,571.3,4.173211571229152,2743.894701023916,269.0,0.0,2939093540.9066877,2471.918603418524,4158.004158004158,64165.702014721275,0.0
80.0,420.0,571.3,4.044275019420987,2437.1911960499815,269.5,0.0,2327081681.582759,2199.5471474870023,4158.004158004158,81934.5025349425,0.0
80.0,430.0,571.3,4.046541772546916,2207.304223422147,268.0,0.0,1732689248.5868688,1897.9632636267359,4158.004158004158,104326.76714356603,0.0
80.0,440.0,571.3,4.013386718429271,2374.4573499265866,268.5,0.0,1943308698.8795393,2010.01065298505,4158.004158004158,74827.71495756543,0.0
80.0,450.0,571.3,4.0740585228648065,2472.466180562147,269.0,0.0,2022992353.2803838,2050.806014296629,4158.004158004158,73303.90103531904,0.0
80.0,460.0,571.3,4.140051345389465,3002.5251106410014,268.0,0.0,2571761985.7069554,2312.292912886098,4158.004158004158,86159.51212628224,0.0
80.0,470.0,571.3,4.092439876148668,3342.0927580186894,269.0,0.0,3270640758.3369136,2607.6174827323466,4158.004158004158,120100.97765657066,0.0
80.0,480.0,571.3,4.100918823540356,3198.17637313965,270.5,0.0,2744176156.5859327,2388.5451502305937,4158.004158004158,97702.4438426929,0.0
80.0,490.0,571.3,4.08701217257117,3262.4833649448174,266.5,0.0,2603955491.372536,2326.7206278778685,4158.004158004158,85563.25611092075,0.0
80.0,500.0,571.3,4.114450292158409,3364.317468898379,261.0,0.0,2810059938.663305,2417.047880080464,4158.004158004158,107772.87716189967,0.0
80.0,510.0,571.3,4.048772121613291,3349.1949480122944,250.50000000000003,0.0,3007081828.650859,2500.34585077635,4158.004158004158,114016.98984102753,0.0
80.0,520.0,571.3,3.9189075463950536,2446.930552900997,180.0,0.0,2092535852.831091,2085.7579889388476,4158.004158004158,74306.71632874425,0.0
80.0,530.0,571.3,3.949794792526156,2841.167787063512,182.0,0.0,2692369909.437837,2365.891510438275,4158.004158004158,78718.91901178224,0.0
80.0,540.0,571.3,3.85756120116109,2941.4595840617962,218.0,0.0,2741816946.044526,2387.5181949190883,4158.004158004158,78562.22498601422,0.0
80.0,550.0,571.3,3.987451349063374,3122.3854315458334,211.5,0.0,2853574464.853215,2435.690301540218,4158.004158004158,97292.04727242282,0.0
80.0,560.0,571.3,3.9726599213722946,2937.1975313730945,276.0,0.0,2595451277.0519433,2322.9181218759286,4158.004158004158,108382.8407673302,0.0
80.0,570.0,571.3,3.9677964413393765,2872.011392490855,274.0,0.0,2024691337.8596327,2051.6670053270527,4158.004158004158,123455.14046715092,0.0
80.0,580.0,571.3,3.9502665513212625,3727.77932011457,271.5,0.0,3028766359.468833,2509.3448463986097,4158.004158004158,127453.1137838214,0.0
80.0,590.0,571.3,4.0510374060283905,3786.482228054389,265.0,0.0,3376490806.7873755,2649.477572473932,4158.004158004158,117833.03726061682,0.0
80.0,600.0,571.3,4.058717896366927,3306.2055973496554,255.49999999999997,0.0,2792443475.816551,2409.4596472484036,4158.004158004158,113292.55712291831,8316.008316008316
80.0,610.0,571.3,4.022375890333399,2819.779166811441,260.5,0.0,1975145214.1692848,2026.4084007398287,4158.004158004158,103696.15973498762,0.0
80.0,620.0,571.3,4.177046349988671,3122.409592170388,212.5,0.0,2875761597.3787346,2445.140965192954,4158.004158004158,107490.7613734235,0.0
80.0,630.0,571.3,4.13343729099974,3513.4821196151765,213.0,0.0,2857383593.074688,2437.3154146537345,4158.004158004158,134716.369347369,0.0
80.0,640.0,571.3,4.1018888133825016,3096.5972769122354,207.0,0.0,2655764202.289327,2349.753029128553,4158.004158004158,115792.44573117915,0.0
80.0,650.0,571.3,4.150170188737669,2947.728462921979,184.5,0.0,2569741856.8390737,2311.3845770159273,4158.004158004158,128716.48013535384,0.0
80.0,660.0,571.3,3.8916844079619812,2837.801242414043,171.0,0.0,1463994069.0956113,1744.6050307437754,4158.004158004158,95948.83421250315,12474.012474012474
80.0,670.0,571.3,3.9295678321714154,3153.0776979403545,170.0,0.0,2503112306.7882338,2281.222411293653,4158.004158004158,105143.34837477609,0.0
80.0,680.0,571.3,3.875425382481156,2637.042761098401,167.0,0.0,1799455748.5766587,1934.1851623779755,4158.004158004158,83055.13533208959,0.0
80.0,690.0,571.3,3.8369858156232755,2670.7589130679125,135.5,0.0,1691734845.0242133,1875.3986935917385,4158.004158004158,82452.74938753486,8316.008316008316
80.0,700.0,571.3,4.045256960691107,2520.4467182539966,136.0,0.0,1634342230.6975813,1843.3124790499214,4158.004158004158,114287.75317379212,8316.008316008316
80.0,710.0,571.3,4.051604383421488,2340.874646163747,135.0,0.0,1763048937.9152892,1914.5188448558802,4158.004158004158,78141.43809535229,0.0
80.0,720.0,571.3,3.988264575330225,2776.6350955359358,279.5,0.0,2895425477.1444716,2453.4864145902548,4158.004158004158,112797.98515017798,0.0
80.0,730.0,571.3,4.240341770016287,2572.5042189184396,238.5,0.0,2108529039.465111,2093.713508740922,4158.004158004158,97472.30110129672,4158.004158004158
80.0,740.0,571.3,4.717210228207893,3363.6912462067057,237.5,0.0,3420539345.0984287,2666.7036599082476,4158.004158004158,86709.25669119856,4158.004158004158
80.0,750.0,571.3,5.413197445429203,3943.4196607287845,239.5,0.0,5099777767.558174,3256.1401353753226,4158.004158004158,68666.879021337,0.0
90.0,50.0,571.3,4.7822202408947545,5553.972269145626,113.5,43.89021028977206,6331547834.993675,3628.1263914385568,4158.004158004158,80252.63302764665,0.0
90.0,60.0,571.3,4.865587921892493,3134.0794598808843,120.0,0.0,2704517630.1222825,2371.222843960896,4158.004158004158,82147.80458276872,0.0
90.0,70.0,571.3,4.107577597059732,3268.1856615498514,135.5,0.0,3052428650.0142083,2519.127926363615,4158.004158004158,60859.7865105149,0.0
90.0,80.0,571.3,3.997113099355531,2557.4505244524935,138.5,0.0,1886775993.7675295,1980.5583085720823,4158.004158004158,70484.41183995495,20790.02079002079
90.0,90.0,571.3,3.9006712949142055,2277.684249839435,146.5,0.0,1850344724.3290446,1961.3440617980855,4158.004158004158,104324.393976776,16632.01663201663
90.0,100.0,571.3,3.8926568848213408,2486.737110222832,158.0,0.0,1871405126.6833487,1972.4743722111655,4158.004158004158,107756.4754216088,16632.01663201663
90.0,110.0,571.3,3.7392847289619677,2433.185274533686,160.5,0.0,1938364452.1554656,2007.4520482180735,4158.004158004158,76199.0646668723,16632.01663201663
90.0,120.0,571.3,3.784549231565485,2191.424009023004,169.5,0.0,1770643282.5703964,1918.6378151268989,4158.004158004158,90517.90987245923,12474.012474012474
90.0,130.0,571.3,3.8399629251696856,2183.3519778246537,188.5,0.0,1667155823.9638033,1861.7251204302881,4158.004158004158,84397.41842153372,12474.012474012474
90.0,140.0,571.3,4.107309925917174,2876.0018322743426,187.5,0.0,2623601769.4318457,2335.481434977024,4158.004158004158,109710.15614039841,12474.012474012474
90.0,150.0,571.3,3.942500489741827,1979.831887336681,202.5,0.0,1716658653.8026276,1889.163018427095,4158.004158004158,111372.19357982362,12474.012474012474
90.0,160.0,571.3,4.086132674419235,2757.2517560078923,216.0,0.0,2610300878.8483295,2329.553810056044,4158.004158004158,119025.53655884504,0.0
90.0,170.0,571.3,3.9847160109709887,2834.49606792562,217.0,0.0,2683383042.4056993,2361.9396528955544,4158.004158004158,108539.48525333553,16632.01663201663
90.0,180.0,571.3,3.9723040632644184,3034.0058966597253,273.5,0.0,3115486111.336813,2545.015147807835,4158.004158004158,86394.06570879948,0.0
90.0,190.0,571.3,4.026058968378556,3279.8505234632817,268.5,0.0,2990476987.9743814,2493.4329498116876,4158.004158004158,82212.68230539259,0.0
90.0,200.0,571.3,3.8395106460629482,3387.113126845513,265.0,0.0,2920122084.3300257,2463.927735194766,4158.004158004158,85173.60454498339,0.0
90.0,210.0,571.3,3.883717104242016,3938.353331986216,270.0,0.0,4080931311.9570627,2912.7761125468287,4158.004158004158,97995.80982423306,12474.012474012474
90.0,220.0,571.3,3.7650094102065244,3176.983448330784,272.0,0.0,2728989669.97869,2381.9267825566963,4158.004158004158,79378.9339115197,12474.012474012474
90.0,230.0,571.3,3.788127303974989,3110.199434176375,277.5,0.0,3643958976.0729575,2752.4168083802215,4158.004158004158,115943.05842711368,0.0
90.0,240.0,571.3,3.8117884692073,2797.852745544068,284.5,0.0,3185385856.6312027,2573.4070448260004,4158.004158004158,74207.03161212755,0.0
90.0,250.0,571.3,3.786197268776143,3180.162081850079,215.0,0.0,3814037840.0575995,2815.917718768137,4158.004158004158,74415.03225073885,0.0
90.0,260.0,571.3,3.843213631081208,2789.0451708656383,221.0,0.0,3195642286.221583,2577.546693428002,4158.004158004158,84078.19995164231,0.0
90.0,270.0,571.3,3.784241895889282,2764.884472235053,189.0,0.0,3310231051.8763328,2623.3522902630016,4158.004158004158,95488.79452530218,0.0
90.0,280.0,571.3,3.8002330761204015,2552.4623388898895,268.0,0.0,2700237154.3053637,2369.345618013444,4158.004158004158,72520.91235982951,12474.012474012474
90.0,290.0,571.3,3.9291566731023337,3236.490354184903,270.5,0.0,3325362145.5861087,2629.3411368835987,4158.004158004158,69369.93059763336,12474.012474012474
90.0,300.0,571.3,3.936535525700007,3724.617421138359,263.5,0.0,3750763582.675597,2792.4622264639233,4158.004158004158,87677.79811514943,12474.012474012474
90.0,310.0,571.3,3.9695347635237592,3337.836700429115,268.5,0.0,2927394119.238625,2466.9938102791343,4158.004158004158,90295.6547843466,0.0
90.0,320.0,571.3,4.101605092866075,3539.7540221477625,273.5,0.0,3681378743.946307,2766.5129788704107,4158.004158004158,99295.46217519487,0.0
90.0,330.0,571.3,4.030095339611721,3119.8802207377253,269.5,0.0,3210560339.662594,2583.556003054734,4158.004158004158,96293.0355123119,0.0
90.0,340.0,571.3,4.11915076231303,2935.0239833535115,270.5,0.0,2887478035.57743,2450.116903137137,4158.004158004158,116332.0858184919,0.0
90.0,350.0,571.3,4.235240216879656,3130.380941630833,272.5,0.0,3460184897.539888,2682.1132704859842,4158.004158004158,96909.24951479436,0.0
90.0,360.0,571.3,4.0446357007565625,2901.969384251445,270.5,0.0,3165781005.8885326,2565.4756465239643,4158.004158004158,75661.26044449104,0.0
90.0,370.0,571.3,3.9383780926818415,2969.1389440338808,233.0,0.0,3380682185.744735,2651.1215160019724,4158.004158004158,76920.29153313086,0.0
90.0,380.0,571.3,4.106571147167084,2704.883387987777,235.5,0.0,3033028436.603732,2511.1097995451305,4158.004158004158,72503.4139224491,0.0
90.0,390.0,571.3,3.9020416701890692,2362.7733952063286,244.0,0.0,2745618161.022457,2389.1726318773103,4158.004158004158,74399.20366195645,0.0
90.0,400.0,571.3,4.110351949623173,2647.2522478890724,250.0,0.0,3199049119.381347,2578.920272133978,4158.004158004158,73622.77024747225,0.0
90.0,410.0,571.3,3.9525305641602055,2696.9123776086494,253.49999999999997,0.0,3171119935.1563644,2567.6380075772013,4158.004158004158,64234.24595056168,0.0
90.0,420.0,571.3,3.9176830715043773,2348.8091453040597,253.00000000000003,0.0,2701161681.2170587,2369.7512002256726,4158.004158004158,74564.22027148117,0.0
90.0,430.0,571.3,3.9382414056188133,2051.0448775418467,254.0,0.0,2194134643.3549585,2135.7927065016033,4158.004158004158,71036.83948265159,0.0
90.0,440.0,571.3,4.0486960751011525,2427.3687319611536,273.5,0.0,2485629223.3832746,2273.2418091884,4158.004158004158,89641.73303730444,0.0
90.0,450.0,571.3,4.003541421938688,2373.257322534597,274.5,0.0,2154869015.67045,2116.5956542419785,4158.004158004158,84625.25994483582,0.0
